date,pearson,spearman
2009-07-31,0.4512905860023626,0.6
2010-01-31,0.322503045497741,0.09999999999999999
2010-07-31,-0.3662014032847405,-0.09999999999999999
2011-01-31,0.2894349436052537,0.09999999999999999
2011-07-31,-0.5031636252479008,-0.6
2012-01-31,0.28197108717068087,0.0
2012-07-31,-0.8512818403316745,-0.8999999999999998
2013-01-31,-0.2926239198761397,0.09999999999999999
2013-07-31,-0.14142504708602655,-0.09999999999999999
2014-01-31,-0.4489701928116379,-0.3
2014-07-31,-0.3824417410381288,-0.6
2015-01-31,0.3730132332207258,0.3
2015-07-31,0.30986997787712456,0.19999999999999998
2016-01-31,0.24847341374714382,0.3
2016-07-31,0.2948509504169803,0.09999999999999999
2017-01-31,0.283946672748727,0.3
2017-07-31,0.8939974700603956,0.8999999999999998
2018-01-31,0.6729753810381529,0.3
2018-07-31,-0.35441029463510465,-0.19999999999999998
2019-01-31,-0.3421792409655715,-0.3
2019-07-31,0.1362460908581027,0.09999999999999999
2020-01-31,0.8998443868173278,0.8999999999999998
2020-07-31,-0.7726138035638215,-0.7999999999999999
2021-01-31,0.6358044105019891,0.7999999999999999
2021-07-31,0.4311592811545945,0.49999999999999994
2022-01-31,0.8954692499683081,0.8999999999999998
2022-07-31,-0.09632326313535299,-0.19999999999999998
2023-01-31,-0.3772068325080554,-0.3
2023-07-31,0.03403162353951112,-0.09999999999999999
