date,ExampleFactor Next Period Returns
2009-07-31,0.041063735095875936
2010-01-31,0.30691636289795543
2010-07-31,-0.5294394722811052
2011-01-31,-0.19148038031567471
2011-07-31,-0.13424985164373052
2012-01-31,0.21990095024820983
2012-07-31,-0.26640849361808283
2013-01-31,-0.042496558818244906
2013-07-31,-0.07119645523712115
2014-01-31,-0.2346778393927097
2014-07-31,-0.09564368516369327
2015-01-31,0.16709415648356868
2015-07-31,0.03993063320983849
2016-01-31,0.3488332723617253
2016-07-31,0.6832518565693402
2017-01-31,0.20728091149184913
2017-07-31,0.4745985252392802
2018-01-31,0.061057143641789186
2018-07-31,-0.11501207186292645
2019-01-31,-0.09449645935362844
2019-07-31,0.08998292568781988
2020-01-31,1.048429836143321
2020-07-31,-0.1148744521493294
2021-01-31,0.1962223860243733
2021-07-31,0.24757206629362705
2022-01-31,0.48344978589879
2022-07-31,-0.04308062090795839
2023-01-31,-0.24062288638113571
2023-07-31,0.009041169922870664
