date,ExampleFactor Next Period Returns
2009-07-31,0.01081490981062852
2010-01-31,0.0812679979303658
2010-07-31,-0.11291290506989221
2011-01-31,-0.0033500690701340208
2011-07-31,-0.010001859310683509
2012-01-31,0.08984567635618865
2012-07-31,-0.1329384022598794
2013-01-31,0.004443191954082271
2013-07-31,-0.024084614042504796
2014-01-31,-0.11596374496859185
2014-07-31,-0.05817292601337246
2015-01-31,0.06852337442359292
2015-07-31,-0.00563481175925748
2016-01-31,0.08960777310480444
2016-07-31,0.12813022202034038
2017-01-31,0.07224283449610996
2017-07-31,0.13113514754619296
2018-01-31,0.02853606703400602
2018-07-31,0.005369067086101461
2019-01-31,-0.015531839458383628
2019-07-31,0.08816774333239252
2020-01-31,0.3726431415193314
2020-07-31,-0.09665751372875016
2021-01-31,0.0871094015529746
2021-07-31,0.07598375221540267
2022-01-31,0.14167664975088748
2022-07-31,-0.03899902032218588
2023-01-31,-0.20726289167746867
2023-07-31,0.04148355259589191
